Code,Price,24hr Price Change,24hr % Change,24hr Low,24hr High,24hr Trading Volume,24hr Trading Volume % Change,Market Dominance,Market Rank,Market Cap,Fully Diluted Market Cap,Yesterday Low,Yesterday High,Yesterday Open,Yesterday Close,Yesterday Volume,7 Day Low,7 Day High,30 Day Low,30 Day High,90 Day Low,90 Day High,52 Week Low,52 Week High,All Time High,All Time High %,All Time Low,All Time Low %,Return on Investment,Cirulating Supply,Total Supply,Max Supply,About,Link
EWT,$17.34,$2.02,13.18%,$14.78,$17.84,"$8,622,689.53",265.52%,,,,,$12.87,$16.96,$13.29,$16.64,"$7,155,268.89",$11.51,$17.84,$7.09,$18.02,$4.99,$18.02,$0.5008,$18.02,$18.02,3.80%,$0.5007,3362.86%,1543.09%,"30,062,138 EWT","48,638,535 EWT","100,000,000 EWT","The live Energy Web Token price today is $17.34 USD with a 24-hour trading volume of $8,622,690 USD. Energy Web Token is up 13.18% in the last 24 hours. The current CoinMarketCap ranking is #94, with a live market cap of $521,192,799 USD. It has a circulating supply of 30,062,138 EWT coins and a max. supply of 100,000,000 EWT coins.The top exchanges for trading in Energy Web Token are currently KuCoin, BitMart, Liquid, and Hotbit. You can find others listed on our crypto exchanges page.",https://coinmarketcap.com/currencies/energy-web-token/
SC,$0.01073,$0.0007241,7.23%,$0.009826,$0.01103,"$29,012,458.96",80.79%,,,,,$0.009789,$0.01038,$0.01033,$0.01024,"$16,118,306.39",$0.008810,$0.01132,$0.007081,$0.01444,$0.002807,$0.01444,$0.0007911,$0.01444,$0.1117,90.39%,$0.00001131,94796.00%,23353.53%,"47,086,252,992 SC","47,086,252,992 SC",No Data,"The live Siacoin price today is $0.010733 USD with a 24-hour trading volume of $29,012,459 USD. Siacoin is up 7.23% in the last 24 hours. The current CoinMarketCap ranking is #96, with a live market cap of $505,364,424 USD. It has a circulating supply of 47,086,252,992 SC coins and the max. supply is not available.The top exchanges for trading in Siacoin are currently Binance, Huobi Global, OKEx, VCC Exchange, and Upbit. You can find others listed on our crypto exchanges page.",https://coinmarketcap.com/currencies/siacoin/
OCEAN,$1.16,$0.2473,27.08%,$0.9208,$1.19,"$122,066,152.36",279.89%,,,,,$0.8961,$1.08,$0.9393,$1.08,"$67,531,766.14",$0.7839,$1.19,$0.5532,$1.37,$0.2690,$1.37,$0.01760,$1.37,$1.37,15.60%,$0.01365,8399.59%,3496.1%,"419,026,837 OCEAN","613,099,141 OCEAN","1,410,000,000 OCEAN","The live Ocean Protocol price today is $1.16 USD with a 24-hour trading volume of $122,066,152 USD. Ocean Protocol is up 27.08% in the last 24 hours. The current CoinMarketCap ranking is #100, with a live market cap of $486,260,871 USD. It has a circulating supply of 419,026,837 OCEAN coins and a max. supply of 1,410,000,000 OCEAN coins.The top exchanges for trading in Ocean Protocol are currently Binance, HBTC, Dsdaq, BitZ, and VCC Exchange. You can find others listed on our crypto exchanges page.",https://coinmarketcap.com/currencies/ocean-protocol/
NPXS,$0.002088,$0.00006706,3.32%,$0.001896,$0.002117,"$98,974,105.45",13.32%,,,,,$0.001896,$0.002214,$0.002091,$0.002060,"$121,475,636.35",$0.001701,$0.002566,$0.0004090,$0.003132,$0.0001589,$0.003132,$0.00007886,$0.003132,$0.01562,86.63%,$0.00007886,2548.21%,104.07%,"235,514,908,115 NPXS","258,498,693,019 NPXS","258,526,640,301 NPXS","The live Pundi X price today is $0.002088 USD with a 24-hour trading volume of $98,974,105 USD. Pundi X is up 3.32% in the last 24 hours. The current CoinMarketCap ranking is #99, with a live market cap of $491,845,046 USD. It has a circulating supply of 235,514,908,115 NPXS coins and a max. supply of 258,526,640,301 NPXS coins.The top exchanges for trading in Pundi X are currently Binance, Huobi Global, VCC Exchange, Upbit, and Bithumb. You can find others listed on our crypto exchanges page.",https://coinmarketcap.com/currencies/pundi-x/
BTG,$28.53,$2.00,7.56%,$26.15,$29.92,"$73,070,139.61",30.77%,,,,,$26.00,$27.66,$26.63,$26.82,"$54,903,679.48",$22.62,$29.92,$10.37,$37.28,$7.50,$36.90,$2.54,$37.28,$539.72,94.71%,$2.54,1024.73%,94.06%,"17,513,924 BTG","17,513,924 BTG","21,000,000 BTG","The live Bitcoin Gold price today is $28.53 USD with a 24-hour trading volume of $73,070,140 USD. Bitcoin Gold is up 7.56% in the last 24 hours. The current CoinMarketCap ranking is #98, with a live market cap of $499,661,677 USD. It has a circulating supply of 17,513,924 BTG coins and a max. supply of 21,000,000 BTG coins.The top exchanges for trading in Bitcoin Gold are currently Binance, Huobi Global, OKEx, Upbit, and BiONE. You can find others listed on our crypto exchanges page.",https://coinmarketcap.com/currencies/bitcoin-gold/
HOT,$0.002729,$0.00009504,3.61%,$0.002573,$0.002854,"$66,421,505.26",5.22%,,,,,$0.002573,$0.002838,$0.002812,$0.002679,"$60,069,763.40",$0.002222,$0.003302,$0.0006832,$0.004096,$0.0005066,$0.004096,$0.0002189,$0.004096,$0.004096,33.38%,$0.0002189,1146.35%,272.4%,"167,912,365,164 HOT","177,619,433,541 HOT",No Data,"The live Holo price today is $0.002729 USD with a 24-hour trading volume of $66,421,505 USD. Holo is up 3.61% in the last 24 hours. The current CoinMarketCap ranking is #101, with a live market cap of $458,173,030 USD. It has a circulating supply of 167,912,365,164 HOT coins and the max. supply is not available.The top exchanges for trading in Holo are currently Binance, HitBTC, Omgfin, BitMart, and Uniswap (V2). You can find others listed on our crypto exchanges page.",https://coinmarketcap.com/currencies/holo/
ZKS,$2.60,$0.4678,21.95%,$2.09,$2.75,"$96,747,227.61",177.28%,,,,,$2.09,$2.47,$2.44,$2.18,"$35,228,904.82",$2.06,$11.37,$1.05,$11.37,$0.2845,$11.37,$0.2845,$11.37,$11.37,77.14%,$0.2845,813.39%,,"197,440,000 ZKS","1,000,000,000 ZKS","1,000,000,000 ZKS","The live ZKSwap price today is $2.60 USD with a 24-hour trading volume of $96,747,228 USD. ZKSwap is up 21.95% in the last 24 hours. The current CoinMarketCap ranking is #95, with a live market cap of $513,122,344 USD. It has a circulating supply of 197,440,000 ZKS coins and a max. supply of 1,000,000,000 ZKS coins.The top exchanges for trading in ZKSwap are currently Huobi Global, BiKi, BitZ, CoinBene, and WBF Exchange. You can find others listed on our crypto exchanges page.",https://coinmarketcap.com/currencies/zkswap/
AR,$13.47,$3.12,30.21%,$10.55,$13.90,"$22,105,602.95",79.89%,,,,,$10.28,$12.35,$10.72,$12.16,"$13,785,442.87",$8.71,$13.90,$4.75,$13.90,$2.04,$13.90,$0.4854,$13.90,$13.90,3.14%,$0.4854,2674.00%,14249.71%,"33,394,701 AR","63,190,435 AR","66,000,000 AR","The live Arweave price today is $13.47 USD with a 24-hour trading volume of $22,105,603 USD. Arweave is up 30.21% in the last 24 hours. The current CoinMarketCap ranking is #102, with a live market cap of $449,706,227 USD. It has a circulating supply of 33,394,701 AR coins and a max. supply of 66,000,000 AR coins.The top exchanges for trading in Arweave are currently Huobi Global, FTX, BiONE, ZT, and CoinBene. You can find others listed on our crypto exchanges page.",https://coinmarketcap.com/currencies/arweave/
DODO,$4.48,$0.4292,10.59%,$3.80,$4.75,"$73,746,578.96",71.43%,,,,,$3.80,$4.43,$4.31,$4.07,"$42,361,015.85",$3.32,$5.24,$1.35,$8.51,$0.1509,$8.51,$0.06609,$8.51,$8.51,47.35%,$0.06609,6681.47%,7039.83%,"98,523,972 DODO","1,000,000,000 DODO","1,000,000,000 DODO","The live DODO price today is $4.48 USD with a 24-hour trading volume of $73,746,579 USD. DODO is up 10.59% in the last 24 hours. The current CoinMarketCap ranking is #103, with a live market cap of $441,587,322 USD. It has a circulating supply of 98,523,972 DODO coins and a max. supply of 1,000,000,000 DODO coins.The top exchanges for trading in DODO are currently Binance, BitZ, VCC Exchange, HitBTC, and CoinBene. You can find others listed on our crypto exchanges page.",https://coinmarketcap.com/currencies/dodo/
XVS,$49.04,$1.30,2.73%,$46.21,$52.91,"$35,535,165.26",54.73%,,,,,$45.68,$55.90,$53.27,$49.32,"$85,305,900.27",$37.87,$72.49,$10.42,$101.51,$2.94,$101.51,$2.07,$101.51,$101.51,51.69%,$2.07,2268.81%,1927.85%,"8,722,384 XVS","30,000,000 XVS","30,000,000 XVS","The live Venus price today is $49.04 USD with a 24-hour trading volume of $35,535,165 USD. Venus is up 2.73% in the last 24 hours. The current CoinMarketCap ranking is #104, with a live market cap of $427,722,763 USD. It has a circulating supply of 8,722,384 XVS coins and a max. supply of 30,000,000 XVS coins.The top exchanges for trading in Venus are currently Binance, VCC Exchange, MXC.COM, Gate.io, and Bithumb Global. You can find others listed on our crypto exchanges page.",https://coinmarketcap.com/currencies/venus/
CHZ,$0.07704,$0.01518,24.53%,$0.06262,$0.08225,"$625,559,069.23",105.40%,,,,,$0.05370,$0.06995,$0.05639,$0.06555,"$374,426,153.00",$0.04761,$0.08225,$0.02169,$0.08225,$0.01142,$0.08225,$0.004194,$0.08225,$0.08225,6.33%,$0.004001,1825.73%,258.34%,"5,441,098,420 CHZ","8,888,888,888 CHZ","8,888,888,888 CHZ","The live Chiliz price today is $0.077044 USD with a 24-hour trading volume of $625,559,069 USD. Chiliz is up 24.53% in the last 24 hours. The current CoinMarketCap ranking is #106, with a live market cap of $419,202,988 USD. It has a circulating supply of 5,441,098,420 CHZ coins and a max. supply of 8,888,888,888 CHZ coins.The top exchanges for trading in Chiliz are currently Binance, Huobi Global, OKEx, HBTC, and Xtheta Global. You can find others listed on our crypto exchanges page.",https://coinmarketcap.com/currencies/chiliz/
BADGER,$57.24,$7.01,13.96%,$49.31,$60.01,"$96,119,234.05",46.57%,,,,,$47.65,$66.27,$48.69,$52.78,"$202,797,468.27",$36.10,$66.27,$36.10,$89.50,$2.77,$89.50,$2.77,$89.50,$89.50,36.05%,$2.77,1965.46%,,"7,378,484 BADGER","21,000,000 BADGER","21,000,000 BADGER","The live Badger DAO price today is $57.24 USD with a 24-hour trading volume of $96,119,234 USD. Badger DAO is up 13.96% in the last 24 hours. The current CoinMarketCap ranking is #105, with a live market cap of $422,312,435 USD. It has a circulating supply of 7,378,484 BADGER coins and a max. supply of 21,000,000 BADGER coins.The top exchanges for trading in Badger DAO are currently Binance, Huobi Global, OKEx, FTX, and ZT. You can find others listed on our crypto exchanges page.",https://coinmarketcap.com/currencies/badger-dao/
QNT,$34.14,$0.7794,2.34%,$31.30,$34.44,"$9,045,207.45",5.31%,,,,,$31.30,$36.13,$34.58,$32.22,"$8,212,387.51",$31.25,$37.75,$31.25,$48.05,$10.12,$48.05,$1.34,$48.05,$48.05,28.94%,$0.1636,20765.25%,2163.36%,"12,072,738 QNT","14,612,493 QNT","14,612,493 QNT","The live Quant price today is $34.14 USD with a 24-hour trading volume of $9,045,207 USD. Quant is up 2.34% in the last 24 hours. The current CoinMarketCap ranking is #107, with a live market cap of $412,181,328 USD. It has a circulating supply of 12,072,738 QNT coins and a max. supply of 14,612,493 QNT coins.The top exchanges for trading in Quant are currently KuCoin, Uniswap (V2), Bitrue, Bilaxy, and Gate.io. You can find others listed on our crypto exchanges page.",https://coinmarketcap.com/currencies/quant/
LSK,$3.19,$0.08579,2.77%,$2.97,$3.28,"$43,159,793.99",2.89%,,,,,$2.97,$3.60,$3.08,$3.15,"$48,963,492.83",$2.57,$4.26,$1.34,$4.56,$1.10,$4.56,$0.5615,$4.56,$39.31,91.89%,$0.09565,3231.36%,4092.13%,"127,416,641 LSK","143,351,879 LSK",No Data,"The live Lisk price today is $3.19 USD with a 24-hour trading volume of $43,159,794 USD. Lisk is up 2.77% in the last 24 hours. The current CoinMarketCap ranking is #108, with a live market cap of $406,015,463 USD. It has a circulating supply of 127,416,641 LSK coins and the max. supply is not available.The top exchanges for trading in Lisk are currently Binance, Huobi Global, OKEx, Upbit, and BiONE. You can find others listed on our crypto exchanges page.",https://coinmarketcap.com/currencies/lisk/
HEDG,$1.13,$0.05639,5.28%,$1.06,$1.14,"$100,264.01",17.20%,,,,,$1.06,$1.13,$1.09,$1.07,"$77,489.53",$0.9446,$1.28,$0.9446,$1.70,$0.3825,$2.42,$0.3658,$3.28,$3.28,65.72%,$0.05664,1886.69%,699.09%,"348,731,468 HEDG","1,000,000,000 HEDG",No Data,"The live HedgeTrade price today is $1.13 USD with a 24-hour trading volume of $100,264 USD. HedgeTrade is up 5.28% in the last 24 hours. The current CoinMarketCap ranking is #109, with a live market cap of $392,416,124 USD. It has a circulating supply of 348,731,468 HEDG coins and the max. supply is not available.The top exchanges for trading in HedgeTrade are currently CoinTiger, HitBTC, Bitcoin.com Exchange, Uniswap (V2), and Bittrex. You can find others listed on our crypto exchanges page.",https://coinmarketcap.com/currencies/hedgetrade/
KCS,$4.78,$0.3324,7.48%,$4.39,$4.99,"$17,690,627.03",30.06%,,,,,$4.35,$5.08,$4.99,$4.57,"$22,695,115.17",$3.51,$5.56,$1.18,$6.90,$0.6626,$6.90,$0.6066,$6.90,$21.14,77.39%,$0.3232,1378.65%,591.12%,"80,118,638 KCS","170,118,638 KCS","170,118,638 KCS","The live KuCoin Token price today is $4.78 USD with a 24-hour trading volume of $17,690,627 USD. KuCoin Token is up 7.48% in the last 24 hours. The current CoinMarketCap ranking is #111, with a live market cap of $382,859,888 USD. It has a circulating supply of 80,118,638 KCS coins and a max. supply of 170,118,638 KCS coins.The top exchanges for trading in KuCoin Token are currently KuCoin, BitMax, and ProBit Exchange. You can find others listed on our crypto exchanges page.",https://coinmarketcap.com/currencies/kucoin-token/
KNC,$1.91,$0.2276,13.53%,$1.61,$1.92,"$76,735,142.62",43.26%,,,,,$1.61,$1.75,$1.67,$1.67,"$54,177,420.16",$1.46,$1.92,$1.37,$2.52,$0.7167,$2.52,$0.2993,$2.52,$6.00,68.18%,$0.1135,1581.90%,409.23%,"205,055,327 KNC","210,263,179 KNC","226,000,000 KNC","The live Kyber Network price today is $1.91 USD with a 24-hour trading volume of $76,735,143 USD. Kyber Network is up 13.53% in the last 24 hours. The current CoinMarketCap ranking is #110, with a live market cap of $391,577,877 USD. It has a circulating supply of 205,055,327 KNC coins and a max. supply of 226,000,000 KNC coins.The top exchanges for trading in Kyber Network are currently Binance, Huobi Global, OKEx, HBTC, and BitZ. You can find others listed on our crypto exchanges page.",https://coinmarketcap.com/currencies/kyber-network/
GLM,$0.3702,$0.03001,8.82%,$0.3310,$0.3712,"$24,126,116.76",342.62%,,,,,$0.3310,$0.3567,$0.3566,$0.3459,"$4,905,097.06",$0.2958,$0.4110,$0.1180,$0.6321,$0.09653,$0.6321,$0.02084,$0.6321,$1.25,70.47%,$0.008797,4107.87%,2363.07%,"1,000,000,000 GLM","1,000,000,000 GLM",No Data,"The live Golem price today is $0.370173 USD with a 24-hour trading volume of $24,126,117 USD. Golem is up 8.82% in the last 24 hours. The current CoinMarketCap ranking is #112, with a live market cap of $370,173,147 USD. It has a circulating supply of 1,000,000,000 GLM coins and the max. supply is not available.The top exchanges for trading in Golem are currently Binance, Huobi Global, OKEx, Hotcoin Global, and Upbit. You can find others listed on our crypto exchanges page.",https://coinmarketcap.com/currencies/golem/
SWAP,$4.78,$0.7212,17.77%,$3.87,$4.95,"$17,396,824.25",65.59%,,,,,$3.82,$4.20,$4.09,$4.01,"$12,821,337.94",$3.04,$4.95,$0.8281,$4.95,$0.3287,$4.95,$0.01253,$4.95,$4.95,3.43%,$0.01253,38046.55%,9815.74%,"73,783,632 SWAP","99,996,811 SWAP","100,000,000 SWAP","The live TrustSwap price today is $4.78 USD with a 24-hour trading volume of $17,396,824 USD. TrustSwap is up 17.77% in the last 24 hours. The current CoinMarketCap ranking is #113, with a live market cap of $352,622,099 USD. It has a circulating supply of 73,783,632 SWAP coins and a max. supply of 100,000,000 SWAP coins.The top exchanges for trading in TrustSwap are currently CoinTiger, BitMart, MXC.COM, Bilaxy, and Gate.io. You can find others listed on our crypto exchanges page.",https://coinmarketcap.com/currencies/trustswap/
XVG,$0.01950,$0.0008315,4.45%,$0.01764,$0.02019,"$10,414,461.12",14.91%,,,,,$0.01764,$0.01929,$0.01918,$0.01839,"$9,879,795.57",$0.01570,$0.02114,$0.01565,$0.02917,$0.005588,$0.02917,$0.001533,$0.02917,$0.3006,93.51%,$0.000002170,898440.75%,277863.12%,"16,434,092,049 XVG","16,434,092,049 XVG","16,555,000,000 XVG","The live Verge price today is $0.019498 USD with a 24-hour trading volume of $10,414,461 USD. Verge is up 4.45% in the last 24 hours. The current CoinMarketCap ranking is #114, with a live market cap of $320,437,420 USD. It has a circulating supply of 16,434,092,049 XVG coins and a max. supply of 16,555,000,000 XVG coins.The top exchanges for trading in Verge are currently Binance, Huobi Global, HitBTC, Omgfin, and Bitfinex. You can find others listed on our crypto exchanges page.",https://coinmarketcap.com/currencies/verge/
REP,$28.90,$0.5415,1.91%,$27.13,$29.28,"$27,541,548.34",47.32%,,,,,$27.13,$31.46,$30.02,$29.14,"$50,078,532.57",$22.64,$33.41,$17.34,$38.87,$13.14,$38.87,$5.66,$38.87,$99.80,71.05%,$0.7830,3590.50%,1865.76%,"11,000,000 REP","11,000,000 REP",No Data,"The live Augur price today is $28.90 USD with a 24-hour trading volume of $27,541,548 USD. Augur is up 1.91% in the last 24 hours. The current CoinMarketCap ranking is #115, with a live market cap of $317,849,322 USD. It has a circulating supply of 11,000,000 REP coins and the max. supply is not available.The top exchanges for trading in Augur are currently Binance, OKEx, CoinTiger, Upbit, and RightBTC. You can find others listed on our crypto exchanges page.",https://coinmarketcap.com/currencies/augur/
ALPHA,$1.81,$0.2864,18.82%,$1.43,$1.93,"$207,902,922.44",40.95%,,,,,$1.43,$1.68,$1.57,$1.51,"$149,699,827.19",$1.08,$1.93,$0.9921,$2.92,$0.1557,$2.92,$0.02570,$2.92,$2.92,38.17%,$0.02570,6934.73%,2269.68%,"174,136,442 ALPHA","1,000,000,000 ALPHA","1,000,000,000 ALPHA","The live Alpha Finance Lab price today is $1.81 USD with a 24-hour trading volume of $207,902,922 USD. Alpha Finance Lab is up 18.82% in the last 24 hours. The current CoinMarketCap ranking is #116, with a live market cap of $314,832,189 USD. It has a circulating supply of 174,136,442 ALPHA coins and a max. supply of 1,000,000,000 ALPHA coins.The top exchanges for trading in Alpha Finance Lab are currently Binance, FTX, VCC Exchange, ZT, and HitBTC. You can find others listed on our crypto exchanges page.",https://coinmarketcap.com/currencies/alpha-finance-lab/
HNT,$4.18,$0.06812,1.66%,$3.91,$4.23,"$833,450.30",78.69%,,,,,$3.91,$4.26,$4.19,$4.04,"$1,198,334.26",$3.41,$4.40,$2.30,$5.15,$1.13,$5.15,$0.2534,$5.15,$5.15,18.80%,$0.2534,1549.70%,1428.75%,"72,538,158 HNT","223,000,000 HNT","223,000,000 HNT","The live Helium price today is $4.18 USD with a 24-hour trading volume of $833,450 USD. Helium is up 1.66% in the last 24 hours. The current CoinMarketCap ranking is #117, with a live market cap of $303,223,322 USD. It has a circulating supply of 72,538,158 HNT coins and a max. supply of 223,000,000 HNT coins.The top exchanges for trading in Helium are currently Binance, FTX, Hoo, Bilaxy, and Binance.US. You can find others listed on our crypto exchanges page.",https://coinmarketcap.com/currencies/helium/
TUSD,$0.9980,$-0.001706,0.17%,$0.9964,$1.00,"$86,470,585.78",4.47%,,,,,$0.9994,$1.00,$0.9995,$0.9999,"$87,140,983.24",$0.9964,$1.00,$0.9964,$1.00,$0.9816,$1.00,$0.9179,$1.08,$1.36,26.86%,$0.9179,8.73%,0.04%,"293,615,710 TUSD","293,615,710 TUSD",No Data,"The live TrueUSD price today is $0.998021 USD with a 24-hour trading volume of $86,470,586 USD. TrueUSD is down 0.17% in the last 24 hours. The current CoinMarketCap ranking is #120, with a live market cap of $293,034,676 USD. It has a circulating supply of 293,615,710 TUSD coins and the max. supply is not available.The top exchanges for trading in TrueUSD are currently Binance, Huobi Global, OKEx, Hydax Exchange, and Mexo Exchange. You can find others listed on our crypto exchanges page.",https://coinmarketcap.com/currencies/trueusd/
SNT,$0.08557,$0.003909,4.79%,$0.07833,$0.08716,"$48,911,183.12",10.53%,,,,,$0.07833,$0.08673,$0.08358,$0.08336,"$36,542,639.16",$0.07529,$0.09006,$0.04919,$0.1243,$0.02665,$0.1243,$0.006196,$0.1243,$0.6759,87.34%,$0.006196,1280.95%,38.52%,"3,470,483,788 SNT","6,804,870,174 SNT",No Data,"The live Status price today is $0.085570 USD with a 24-hour trading volume of $48,911,183 USD. Status is up 4.79% in the last 24 hours. The current CoinMarketCap ranking is #119, with a live market cap of $296,969,093 USD. It has a circulating supply of 3,470,483,788 SNT coins and the max. supply is not available.The top exchanges for trading in Status are currently Binance, Huobi Global, OKEx, BiKi, and ZG.com. You can find others listed on our crypto exchanges page.",https://coinmarketcap.com/currencies/status/
NU,$0.7217,$0.0007395,0.10%,$0.6752,$0.7404,"$42,643,522.51",18.06%,,,,,$0.6752,$0.7512,$0.7378,$0.6990,"$40,772,614.19",$0.6037,$0.8386,$0.2660,$1.13,$0.1497,$1.13,$0.06110,$1.13,$1.13,35.99%,$0.06110,1081.15%,,"400,500,000 NU","1,116,758,289 NU","3,885,390,082 NU","The live NuCypher price today is $0.721683 USD with a 24-hour trading volume of $42,643,523 USD. NuCypher is up 0.10% in the last 24 hours. The current CoinMarketCap ranking is #122, with a live market cap of $289,034,127 USD. It has a circulating supply of 400,500,000 NU coins and a max. supply of 3,885,390,082 NU coins.The top exchanges for trading in NuCypher are currently OKEx, Bithumb, Coinbase Pro, AOFEX, and BKEX. You can find others listed on our crypto exchanges page.",https://coinmarketcap.com/currencies/nucypher/
BAND,$14.08,$1.23,9.54%,$12.16,$14.27,"$173,088,290.35",31.52%,,,,,$12.16,$13.63,$13.46,$12.99,"$147,738,783.78",$10.95,$14.27,$10.41,$20.53,$4.56,$20.53,$0.2085,$20.53,$20.53,31.42%,$0.2042,6795.24%,2895.49%,"20,494,033 BAND","100,000,000 BAND",No Data,"The live Band Protocol price today is $14.08 USD with a 24-hour trading volume of $173,088,290 USD. Band Protocol is up 9.54% in the last 24 hours. The current CoinMarketCap ranking is #123, with a live market cap of $288,531,451 USD. It has a circulating supply of 20,494,033 BAND coins and the max. supply is not available.The top exchanges for trading in Band Protocol are currently Binance, Huobi Global, OKEx, HBTC, and Dsdaq. You can find others listed on our crypto exchanges page.",https://coinmarketcap.com/currencies/band-protocol/
POLS,$4.92,$0.5888,13.60%,$3.99,$4.98,"$96,644,678.23",0.29%,,,,,$3.99,$4.86,$4.04,$4.22,"$98,016,576.25",$3.43,$5.19,$1.39,$7.51,$0.3074,$7.51,$0.09986,$7.51,$7.51,34.48%,$0.09986,4826.05%,1555.04%,"59,380,000 POLS","100,000,000 POLS",No Data,"The live Polkastarter price today is $4.92 USD with a 24-hour trading volume of $96,644,678 USD. Polkastarter is up 13.60% in the last 24 hours. The current CoinMarketCap ranking is #121, with a live market cap of $292,100,525 USD. It has a circulating supply of 59,380,000 POLS coins and the max. supply is not available.The top exchanges for trading in Polkastarter are currently Huobi Global, OKEx, BiKi, HitBTC, and BKEX. You can find others listed on our crypto exchanges page.",https://coinmarketcap.com/currencies/polkastarter/
AMPL,$0.9156,$0.05515,6.41%,$0.8275,$0.9257,"$7,975,482.27",20.14%,,,,,$0.8275,$0.8890,$0.8438,$0.8370,"$9,489,579.05",$0.7284,$0.9257,$0.7284,$1.72,$0.7128,$1.72,$0.4685,$4.04,$4.04,77.32%,$0.2945,210.83%,3.63%,"306,479,660 AMPL","485,484,056 AMPL","395,345,190 AMPL","The live Ampleforth price today is $0.915550 USD with a 24-hour trading volume of $7,975,482 USD. Ampleforth is up 6.41% in the last 24 hours. The current CoinMarketCap ranking is #124, with a live market cap of $280,597,480 USD. It has a circulating supply of 306,479,660 AMPL coins and a max. supply of 395,345,190 AMPL coins.The top exchanges for trading in Ampleforth are currently Hotcoin Global, FTX, BiONE, Bitribe, and BitAsset. You can find others listed on our crypto exchanges page.",https://coinmarketcap.com/currencies/ampleforth/
ONE,$0.03014,$0.002035,7.24%,$0.02725,$0.03131,"$25,216,653.12",15.36%,,,,,$0.02725,$0.03087,$0.02915,$0.02880,"$27,352,215.05",$0.02164,$0.03131,$0.008393,$0.03847,$0.004021,$0.03847,$0.001257,$0.03847,$0.03847,21.65%,$0.001257,2298.42%,849.32%,"9,268,276,860 ONE","12,945,291,860 ONE","12,600,000,000 ONE","The live Harmony price today is $0.030141 USD with a 24-hour trading volume of $25,216,653 USD. Harmony is up 7.24% in the last 24 hours. The current CoinMarketCap ranking is #125, with a live market cap of $279,355,141 USD. It has a circulating supply of 9,268,276,860 ONE coins and a max. supply of 12,600,000,000 ONE coins.The top exchanges for trading in Harmony are currently Binance, Huobi Global, HitBTC, Bitcoin.com Exchange, and KuCoin. You can find others listed on our crypto exchanges page.",https://coinmarketcap.com/currencies/harmony/
IOTX,$0.03110,$0.007586,32.26%,$0.02362,$0.03129,"$68,773,263.20",51.43%,,,,,$0.02339,$0.02632,$0.02574,$0.02510,"$37,230,864.85",$0.01916,$0.03129,$0.01128,$0.03647,$0.005859,$0.03647,$0.001239,$0.03647,$0.08804,64.67%,$0.001239,2409.87%,2.67%,"9,644,304,442 IOTX","9,644,304,442 IOTX","10,000,000,000 IOTX","The live IoTeX price today is $0.031100 USD with a 24-hour trading volume of $68,773,263 USD. IoTeX is up 32.26% in the last 24 hours. The current CoinMarketCap ranking is #118, with a live market cap of $299,933,776 USD. It has a circulating supply of 9,644,304,442 IOTX coins and a max. supply of 10,000,000,000 IOTX coins.The top exchanges for trading in IoTeX are currently Binance, Huobi Global, HBTC, Xtheta Global, and Upbit. You can find others listed on our crypto exchanges page.",https://coinmarketcap.com/currencies/iotex/
SRM,$5.47,$0.1315,2.47%,$4.90,$5.58,"$177,861,222.61",4.09%,,,,,$4.90,$5.84,$5.68,$5.28,"$195,270,195.38",$4.28,$8.11,$2.61,$8.11,$0.8888,$8.11,$0.1100,$8.11,$8.11,32.62%,$0.1100,4869.84%,4857.24%,"50,000,000 SRM","161,000,001 SRM","10,000,000,000 SRM","The live Serum price today is $5.47 USD with a 24-hour trading volume of $177,861,223 USD. Serum is up 2.47% in the last 24 hours. The current CoinMarketCap ranking is #126, with a live market cap of $273,356,494 USD. It has a circulating supply of 50,000,000 SRM coins and a max. supply of 10,000,000,000 SRM coins.The top exchanges for trading in Serum are currently Binance, OKEx, HBTC, Xtheta Global, and BitZ. You can find others listed on our crypto exchanges page.",https://coinmarketcap.com/currencies/serum/
BAL,$38.70,$1.35,3.61%,$35.53,$40.29,"$124,658,622.85",23.73%,,,,,$35.53,$39.20,$38.15,$36.69,"$109,819,590.67",$32.11,$40.09,$29.39,$52.19,$10.90,$52.19,$7.88,$52.19,$52.19,25.85%,$7.88,390.90%,97.58%,"6,943,831 BAL","35,725,000 BAL","100,000,000 BAL","The live Balancer price today is $38.70 USD with a 24-hour trading volume of $124,658,623 USD. Balancer is up 3.61% in the last 24 hours. The current CoinMarketCap ranking is #130, with a live market cap of $268,712,029 USD. It has a circulating supply of 6,943,831 BAL coins and a max. supply of 100,000,000 BAL coins.The top exchanges for trading in Balancer are currently Binance, Huobi Global, OKEx, HBTC, and ZG.com. You can find others listed on our crypto exchanges page.",https://coinmarketcap.com/currencies/balancer/
